anime_id,title,type,status,episodes,duration_min,total_hours,start_date,end_date,year,decade,season,score,members_scored,rank,age_rating,main_studio,studio_group,genre_count,primary_genre,score_band,popularity_tier,is_scored
55286,Stray Sheep,PV,Finished Airing,3,0.5,0.02,1994-10-01,1995-06-01,1994,1990s,Fall,,,,G,Robot Communications,Others,1,Adventure,Not Rated,Not Rated,Not Rated
55285,The Adventure of Stray Sheep,TV,Finished Airing,12,5.0,1.0,1994-12-24,2000-12-23,1994,1990s,Winter,,,14876,G,Robot Communications,Others,1,Adventure,Not Rated,Not Rated,Not Rated
55276,Zanmai,Music,Finished Airing,1,4.0,0.07,2003-07-16,,2003,2000s,Summer,,,,G,Unknown,Others,1,Avant Garde,Not Rated,Not Rated,Not Rated
55275,Sugar Highway,Music,Finished Airing,1,4.0,0.07,2020-07-17,,2020,2020s,Summer,,,,G,Caviar,Others,1,Sci-Fi,Not Rated,Not Rated,Not Rated
55274,Haha e,Music,Finished Airing,1,5.0,0.08,2019-04-17,,2019,2010s,Spring,,,,G,Unknown,Others,1,Drama,Not Rated,Not Rated,Not Rated
55271,Diamond wo Sagase! Usotsuki Karasu to Haru no Seiza-tachi,Movie,Finished Airing,1,30.0,0.5,2023-03-04,,2023,2020s,Spring,,,20471,PG-13,Unknown,Others,3,Adventure,Not Rated,Not Rated,Not Rated
55268,Clay,Music,Finished Airing,1,3.0,0.05,2022-10-26,,2022,2020s,Fall,,,,PG-13,Unknown,Others,0,Unknown,Not Rated,Not Rated,Not Rated
55266,A Night With Moosina,Movie,Finished Airing,1,29.0,0.48,2022-01-01,,2022,2020s,Winter,,,15503,R,Misogo Animation Studio,Others,2,Horror,Not Rated,Not Rated,Not Rated
55257,Panda and Krash,TV,Finished Airing,52,10.0,8.67,2021-01-16,2021-02-02,2021,2020s,Winter,,,16187,PG,Unknown,Others,1,Comedy,Not Rated,Not Rated,Not Rated
55261,The Island of Us,Movie,Finished Airing,1,19.0,0.32,2022-01-01,,2022,2020s,Winter,,,20419,PG-13,Shadow Steps,Others,2,Adventure,Not Rated,Not Rated,Not Rated
55260,The Loach,Movie,Finished Airing,1,7.0,0.12,2022-01-01,,2022,2020s,Winter,,,20232,PG-13,Congrong Film,Others,2,Avant Garde,Not Rated,Not Rated,Not Rated
